Identifer,Creator,Title ,Date,Description,Repository
SHS1,Shayna Simkin,Photograph of Forest Hollow Swim Club Mural,1974,"8x10"" Photograph of an abstract mural painted on a stone wall",Laurey Simkin-Silverman
SHS2,Shayna Simkin,Photograph of Laurey in Shayna's Studio,1970,"4x6"" Photograph of Shayna's daughter painting in her Annandale, VA home studio with Shayna's painted works (MFA thesis in progress) featured the background",Laurey Simkin-Silverman
SHS3,Shayna Simkin,"Photograph of Fairfax, Virginia Home Studio",~1992,"4x6"" Photograph of Shayna's Fairfax, VA home studio showing some works-in-progress and painting materials ",Laurey Simkin-Silverman
SHS4,Unknown,Photograph of Metal Etching in Motion,Late 1960s,"4x6"" Photograph of artist (Shayna) mid-printing a metal etching ",Laurey Simkin-Silverman
SHS5,Unknown,Photograph of Silkscreen in Motion,1978,"4x6"" Photograph of artist (Shayna) in action silk screening",Laurey Simkin-Silverman
SHS6,Sam Simkin,"Photograph of Shayna in Miami, FL",1962,Black and white photograph of Shayna outside the Miami Museum of Modern Art,Laurey Simkin-Silverman
SHS7,Shayna Simkin,Proposal for a One Person Show Draft,16-Apr-88,Handwritten and typed proposal draft for a one person art show made of 5 standard sized papers stapled together; includes resume,Laurey Simkin-Silverman
SHS8,Shayna Simkin,Proposal for a One Person Show Final Draft,16-Apr-88,Handwritten proposal for a one person art show; 2 ruled papers stapled together ,Laurey Simkin-Silverman
SHS9,Shayna Simkin,"""A Special Place"" Identifer Card",1995,"2x4"" Handwritten identifying card for the painting ""A Special Place""",Laurey Simkin-Silverman
SHS10,Shayna Simkin,"""David and the Angels",1970,"7'6"" x 7'6"" Abstract colorful blue oil painting on canvas (1/4 MFA thesis)",Laurey Simkin-Silverman
SHS11,Shayna Simkin,"""Fountainhead""",1970,"6' x 6'8"" Colorful blue abstract oil painting on canvas  (2/4 MFA thesis)",Laurey Simkin-Silverman
SHS12,Shayna Simkin,"""The Ballerina""",1982,"26"" x 30"" Oil painting on canvas of a hunched woman from the back, raw umber colored",Laurey Simkin-Silverman
SHS13,The Art League,Drawing Award,1998,"8 1/2 x 11"" Paper award commemorating the painting ""Still Life in Black in White"" from the Art League of Virginia",Laurey Simkin-Silverman
SHS14,Shayna Simkin,"""St. Patrick's Day Parade""",1962,"44"" x 44"" Abstract oil painting on canvas of a parade",Laurey Simkin-Silverman
SHS15,Shayna Heisman,"""Violin""",1959,"36"" x 19"" Abstract oil painting on canvas of a violin, inspired by Picasso",Brian Simkin
SHS16,Shayna Heisman,"""Cubic""",1959,"22"" x 18"" Abstract oil painting on canvas",Laurey Simkin-Silverman
SHS17,Shayna Simkin,"""My Name is Percy I'm a Pigeon""",1962,"8"" x 8"" Handmade children's book of animal woodcut prints inspired by the Philadelphia Zoo on cardstock",Laurey Simkin-Silverman
SHS18,Shayna Simkin,"""Rhododendrons""",1995,"32"" x 32"" Abstract acrylic green painting of rhododendron flowers",Laurey Simkin-Silverman
SHS19,Shayna Simkin,"""Aspen No. 2""",1986,"22"" x 20"" Black and white brush and ink painting on paper depicting a Colorado mountains landscape",Laurey Simkin-Silverman
SHS20,Shayna Simkin,"""Vase and Bouquet""",1986,"17"" x 23"" Black and white brush and ink painting on paper of a vase with flowers outline",Laurey Simkin-Silverman
SHS21,Ida Jervis,"Shayna Painting ""David and the Angels"" Photograph",1970,"8"" x 10"" Black and white photograph of Shayna painting ""David and the Angels""",Laurey Simkin-Silverman
SHS22,Ida Jervis,"Shayna Making ""Haifa"" Photograph",1968,"8"" x 10"" Black and white photograph of Shayna making ""Haifa"" (brush and ink)",Laurey Simkin-Silverman
SHS23,Shayna Simkin,"""Cathedrals""",1969,"40"" x 36"" Black, white, and red silkscreen print on paper",Laurey Simkin-Silverman
SHS24,Shayna Simkin,"""Summer in Snowmass""",1983,"33"" x 31"" Pink and orange abstract silkscreen on paper of Colorado mountains landscape",Laurey Simkin-Silverman
SHS25,Shayna Simkin,"""Mr. Lincoln""",~1975,"15"" x 44"" Black and white woodcut print of Abraham Lincoln on rice paper",Laurey Simkin-Silverman
SHS26,Shayna Simkin,"""The Musician"" Wood Block",~1975,"20"" x 35"" Wood block of the ""The Musician"" (used for prints)",Laurey Simkin-Silverman
SHS27,Shayna Simkin,"""Daisies #2""",~1988,"34"" x 34"" Pastels on paper depicting a colorful floral arrangement",Laurey Simkin-Silverman
SHS28,Shayna Simkin,"""Second Generation""",~1968,"22"" x 30"" Sepia-toned etching print of an Asian woman's profile facing right",Laurey Simkin-Silverman
SHS29,Shayna Simkin,5th Annual Hadassah Art Collectors' Show Program,1970,"5 1/2"" x 8 1/2"" ""Haifa"" print on the cover of a paper program ",Laurey Simkin-Silverman
SHS30,Shayna Simkin,"""Hear; Oh Israel; The Lord Our God, The Lord is One"" ",1984,"24"" x 28"" Orange, green, blue, and red acrylic painting on paper of four lines of the Shma in large Hebrew characters",Laurey Simkin-Silverman
